district,page,price_clean,bedrooms_clean,bathrooms_clean,garage_clean,land_area_clean,building_area_clean
Citayam,152,700000000.0,2.0,1.0,,72.0,45.0
Pancoran Mas,152,450000000.0,2.0,1.0,,72.0,45.0
Citayam,152,340000000.0,2.0,1.0,,60.0,42.0
Cinere,152,3210000000.0,3.0,2.0,,113.0,160.0
Sawangan,152,1880000000.0,2.0,2.0,,144.0,81.0
Limo,152,780000000.0,2.0,2.0,,100.0,72.0
Cinere,152,780000000.0,2.0,1.0,,85.0,45.0
Cinere,152,940000000.0,2.0,1.0,,82.0,50.0
Cinere,152,710000000.0,2.0,1.0,,75.0,50.0
Sawangan,152,1000000000.0,2.0,2.0,,98.0,50.0
Cinere,152,1500000000.0,3.0,2.0,,105.0,140.0
Cibubur,152,2900000000.0,6.0,6.0,2.0,320.0,400.0
Harjamukti,152,2200000000.0,4.0,4.0,1.0,150.0,225.0
Harjamukti,152,1350000000.0,2.0,2.0,1.0,92.0,65.0
Sawangan,152,285000000.0,2.0,1.0,1.0,57.0,40.0
Cimanggis,152,2680000000.0,3.0,3.0,2.0,119.0,128.0
Cinere,153,3750000000.0,5.0,4.0,3.0,425.0,237.0
Cilodong,153,850000000.0,3.0,2.0,1.0,60.0,80.0
Cinere,153,4250000000.0,4.0,3.0,2.0,374.0,400.0
Cinere,153,3700000000.0,5.0,4.0,1.0,327.0,419.0
Cilodong,153,850000000.0,3.0,2.0,1.0,66.0,70.0
Sawangan,153,777000000.0,3.0,2.0,2.0,66.0,66.0
Cimanggis,153,4900000000.0,4.0,4.0,2.0,162.0,202.0
Rangkapanjaya,153,1280000000.0,3.0,3.0,2.0,97.0,110.0
Citayam,153,200000000.0,2.0,1.0,1.0,60.0,36.0
Cinere,153,1770000000.0,3.0,3.0,2.0,100.0,130.0
Cimanggis,153,1300000000.0,3.0,2.0,1.0,121.0,60.0
Beji,153,1300000000.0,4.0,3.0,1.0,252.0,200.0
Cinere,153,1500000000.0,2.0,1.0,1.0,151.0,100.0
Cimanggis,154,1400000000.0,3.0,2.0,,124.0,65.0
Cinere,154,3000000000.0,3.0,2.0,2.0,200.0,153.0
Cinangka,154,900000000.0,3.0,2.0,1.0,70.0,95.0
Sukmajaya,154,1100000000.0,3.0,3.0,,84.0,140.0
Pangkalan Jati,154,3500000000.0,4.0,4.0,2.0,395.0,280.0
Sukmajaya,154,2800000000.0,4.0,3.0,3.0,250.0,235.0
Limo,154,1400000000.0,5.0,4.0,2.0,108.0,190.0
Sawangan,154,876000000.0,3.0,2.0,2.0,95.0,80.0
Cinere,154,1670000000.0,4.0,4.0,2.0,83.0,160.0
Sawangan,154,1750000000.0,4.0,4.0,2.0,144.0,150.0
Sawangan,154,950000000.0,3.0,2.0,2.0,63.0,120.0
Cinangka,154,950000000.0,3.0,2.0,2.0,63.0,120.0
Gandul,154,1770000000.0,4.0,5.0,2.0,100.0,135.0
Cinere,154,2750000000.0,5.0,2.0,2.0,240.0,200.0
Sawangan,154,975000000.0,2.0,2.0,1.0,195.0,134.0
Cimanggis,154,1530000000.0,3.0,3.0,2.0,107.0,120.0
